Município;UF;TOM;Unidade Local;Delegacia;Região Fiscal;Estado;Pais
MUTUIPE;BA;3749;ARF - SANTO ANTÔNIO DE JESUS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
NAZARE;BA;3751;ARF - SANTO ANTÔNIO DE JESUS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
NEOPOLIS;SE;3187;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
NILO PECANHA;BA;3753;ARF - SANTO ANTÔNIO DE JESUS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
NORDESTINA;BA;3979;DRF - FEIRA DE SANTANA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
NOSSA SENHORA APARECIDA;SE;3135;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
NOSSA SENHORA DA GLORIA;SE;3189;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
NOSSA SENHORA DAS DORES;SE;3191;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
NOSSA SENHORA DE LOURDES;SE;3193;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
NOSSA SENHORA DO SOCORRO;SE;3195;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
NOVA CANAA;BA;3755;DRF - VITÓRIA DA CONQUISTA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
NOVA FATIMA;BA;3007;DRF - FEIRA DE SANTANA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
NOVA IBIA;BA;3009;ARF - JEQUIÉ (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
NOVA ITARANA;BA;3757;ARF - JEQUIÉ (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
